Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_By,Canceled_Reason,Incomplete_Ride,Incomplete_Ride_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
2026-02-19,06:35:30,OLA119504,Success,Cust_2954,Auto,Indiranagar,HSR Layout,4,32,NA,NA,No,NA,502.85,Credit Card,33.52,3,3
2026-02-20,03:26:19,OLA840450,Cancelled,Cust_2383,Bike,Airport,Indiranagar,2,0,Customer,Late arrival,No,NA,0.0,Cash,0.0,0,0
2026-01-03,15:03:05,OLA728584,Success,Cust_3812,Bike,Indiranagar,Koramangala,8,21,NA,NA,No,NA,101.42,Credit Card,6.76,3,5
2026-02-22,06:30:30,OLA193879,Success,Cust_981,Bike,Airport,Koramangala,12,17,NA,NA,No,NA,1156.39,Wallet,77.09,4,3
2026-02-04,15:07:06,OLA314980,Incomplete,Cust_2825,Prime Sedan,Indiranagar,HSR Layout,4,8,NA,NA,Yes,Accident,101.77,Cash,6.78,0,0
2026-02-27,02:10:19,OLA174636,Success,Cust_2576,Mini,Indiranagar,Electronic City,2,35,NA,NA,No,NA,532.68,Wallet,35.51,4,4
2026-01-02,20:31:17,OLA503594,Success,Cust_4052,Bike,Electronic City,Indiranagar,6,15,NA,NA,No,NA,442.74,Cash,29.52,3,5
2026-01-13,14:21:19,OLA633369,Success,Cust_2440,Mini,Electronic City,Indiranagar,5,17,NA,NA,No,NA,743.94,Credit Card,49.6,3,4
2026-01-29,23:45:00,OLA759934,Success,Cust_644,Mini,MG Road,Electronic City,10,22,NA,NA,No,NA,636.77,UPI,42.45,3,3
2026-02-08,13:23:28,OLA771185,Success,Cust_1705,Auto,HSR Layout,MG Road,3,38,NA,NA,No,NA,121.21,Credit Card,8.08,4,4
2026-02-18,01:58:06,OLA845907,Success,Cust_106,Lux,Airport,Electronic City,9,5,NA,NA,No,NA,290.11,UPI,19.34,5,3
2026-02-28,02:48:40,OLA911393,Success,Cust_3598,Auto,Koramangala,Indiranagar,2,36,NA,NA,No,NA,412.96,Wallet,27.53,3,4
2026-01-16,17:51:59,OLA487066,Success,Cust_746,Prime Sedan,Indiranagar,Whitefield,6,7,NA,NA,No,NA,647.28,UPI,43.15,3,5
2026-01-25,13:06:38,OLA875532,Success,Cust_3749,Prime Play,HSR Layout,Koramangala,11,25,NA,NA,No,NA,888.69,Credit Card,59.25,5,4
2026-03-02,10:51:40,OLA347592,Success,Cust_1088,Lux,Whitefield,Koramangala,9,27,NA,NA,No,NA,702.79,Cash,46.85,4,3
2026-01-19,02:45:45,OLA914838,Success,Cust_1792,Auto,MG Road,Koramangala,8,34,NA,NA,No,NA,463.03,UPI,30.87,4,5
2026-02-03,22:45:14,OLA332994,Success,Cust_2437,Lux,Airport,Koramangala,10,42,NA,NA,No,NA,122.64,Credit Card,8.18,4,5
2026-01-05,19:46:03,OLA857834,Success,Cust_4213,Lux,Electronic City,Whitefield,11,21,NA,NA,No,NA,498.33,Credit Card,33.22,3,4
2026-02-23,05:45:23,OLA654663,Success,Cust_401,Prime Play,Electronic City,Airport,6,24,NA,NA,No,NA,979.72,Credit Card,65.31,4,4
2026-02-08,12:09:21,OLA458635,Success,Cust_3113,Prime Sedan,Indiranagar,HSR Layout,11,17,NA,NA,No,NA,691.76,UPI,46.12,5,3
2026-01-23,05:31:07,OLA838948,Cancelled,Cust_3514,Bike,Whitefield,Airport,5,0,Customer,Changed mind,No,NA,0.0,Wallet,0.0,0,0
2026-02-20,20:27:13,OLA295564,Success,Cust_1941,Prime Play,Electronic City,Whitefield,11,27,NA,NA,No,NA,849.72,UPI,56.65,3,5
2026-01-14,09:42:04,OLA718517,Success,Cust_418,Lux,HSR Layout,Airport,12,42,NA,NA,No,NA,165.58,Wallet,11.04,5,5
2026-02-28,17:25:58,OLA979235,Success,Cust_3631,Auto,Indiranagar,Whitefield,4,38,NA,NA,No,NA,879.22,Cash,58.61,5,3
2026-01-23,20:45:06,OLA765267,Incomplete,Cust_431,Bike,Airport,Electronic City,4,5,NA,NA,Yes,Vehicle Breakdown,93.05,Credit Card,6.2,0,0
2026-01-20,11:56:27,OLA693193,Cancelled,Cust_4762,Prime Play,HSR Layout,Electronic City,1,0,Customer,Wrong location,No,NA,0.0,Credit Card,0.0,0,0
2026-01-08,20:32:04,OLA363173,Success,Cust_2731,Bike,Koramangala,Airport,12,15,NA,NA,No,NA,280.73,UPI,18.72,4,4
2026-02-04,23:51:00,OLA180709,Success,Cust_1695,Prime Play,HSR Layout,Whitefield,12,6,NA,NA,No,NA,822.43,Wallet,54.83,3,5
2026-02-09,02:55:21,OLA231137,Success,Cust_2297,Prime Sedan,HSR Layout,Airport,3,12,NA,NA,No,NA,882.11,Cash,58.81,3,5
2026-02-03,10:22:06,OLA369471,Incomplete,Cust_2910,Mini,HSR Layout,Whitefield,6,8,NA,NA,Yes,Medical Emergency,140.93,Cash,9.4,0,0
2026-02-23,22:26:37,OLA288285,Success,Cust_3489,Prime Sedan,MG Road,Whitefield,5,23,NA,NA,No,NA,843.08,Wallet,56.21,3,4
2026-01-05,17:08:32,OLA273541,Success,Cust_3291,Lux,Koramangala,Whitefield,4,20,NA,NA,No,NA,227.05,Wallet,15.14,4,4
2026-02-14,17:24:56,OLA197102,Success,Cust_2392,Lux,Airport,Whitefield,4,6,NA,NA,No,NA,1098.12,Wallet,73.21,4,5
2026-02-28,09:22:07,OLA239299,Cancelled,Cust_1777,Bike,MG Road,HSR Layout,2,0,Driver,Late arrival,No,NA,0.0,UPI,0.0,0,0
2026-02-05,13:50:01,OLA793724,Success,Cust_3992,Prime Sedan,Indiranagar,Airport,6,37,NA,NA,No,NA,159.25,UPI,10.62,5,4
2026-01-14,03:45:43,OLA682607,Cancelled,Cust_4727,Mini,Indiranagar,MG Road,4,0,Customer,Driver refused,No,NA,0.0,Wallet,0.0,0,0
2026-02-12,16:02:28,OLA565119,Success,Cust_2891,Prime Sedan,Koramangala,HSR Layout,3,14,NA,NA,No,NA,658.09,Wallet,43.87,4,5
2026-01-17,11:53:24,OLA569994,Success,Cust_595,Auto,Airport,Whitefield,4,32,NA,NA,No,NA,631.09,Wallet,42.07,3,4
2026-02-04,22:09:06,OLA338286,Success,Cust_4210,Prime Sedan,Koramangala,Whitefield,10,29,NA,NA,No,NA,1100.9,Credit Card,73.39,3,5
2026-02-26,04:17:17,OLA697147,Success,Cust_2138,Bike,Electronic City,Airport,10,16,NA,NA,No,NA,962.68,Credit Card,64.18,4,3
2026-01-26,00:55:42,OLA733400,Success,Cust_458,Prime Play,Whitefield,Koramangala,6,34,NA,NA,No,NA,1074.98,Credit Card,71.67,3,4
2026-01-27,10:12:59,OLA514922,Success,Cust_2142,Prime Sedan,Airport,Electronic City,8,40,NA,NA,No,NA,403.99,Credit Card,26.93,5,4
2026-01-26,12:16:29,OLA262043,Success,Cust_3589,Prime Sedan,Koramangala,Indiranagar,10,22,NA,NA,No,NA,886.64,Wallet,59.11,4,4
2026-02-22,02:54:03,OLA907372,Success,Cust_3540,Auto,Airport,Electronic City,2,13,NA,NA,No,NA,391.74,Wallet,26.12,5,3
2026-01-20,20:19:42,OLA920565,Success,Cust_4884,Prime Play,Electronic City,HSR Layout,5,22,NA,NA,No,NA,140.01,Wallet,9.33,4,5
2026-02-23,08:19:40,OLA891315,Success,Cust_1793,Mini,HSR Layout,Electronic City,8,10,NA,NA,No,NA,887.8,UPI,59.19,5,4
2026-01-24,12:32:12,OLA170087,Cancelled,Cust_417,Mini,MG Road,HSR Layout,1,0,Driver,Wrong location,No,NA,0.0,UPI,0.0,0,0
2026-02-05,00:58:14,OLA579008,Success,Cust_1491,Mini,Indiranagar,Koramangala,7,44,NA,NA,No,NA,815.76,UPI,54.38,3,5
2026-02-27,07:20:55,OLA693964,Success,Cust_126,Lux,MG Road,Koramangala,5,5,NA,NA,No,NA,299.48,Credit Card,19.97,3,4
2026-02-25,03:32:03,OLA822803,Success,Cust_2961,Prime Play,Koramangala,Airport,8,43,NA,NA,No,NA,709.28,Cash,47.29,3,4
2026-02-08,14:34:50,OLA426630,Success,Cust_4762,Mini,Whitefield,Electronic City,3,10,NA,NA,No,NA,311.34,Cash,20.76,4,3
2026-02-02,01:02:04,OLA601961,Success,Cust_4947,Auto,Whitefield,MG Road,12,18,NA,NA,No,NA,142.24,UPI,9.48,5,3
2026-02-26,13:32:30,OLA996524,Success,Cust_1723,Mini,Koramangala,MG Road,4,26,NA,NA,No,NA,227.08,UPI,15.14,5,5
2026-02-06,17:56:22,OLA833778,Success,Cust_837,Prime Sedan,Whitefield,Airport,4,15,NA,NA,No,NA,1131.75,Wallet,75.45,5,5
2026-02-08,13:34:56,OLA153058,Success,Cust_4488,Lux,HSR Layout,MG Road,10,15,NA,NA,No,NA,308.04,UPI,20.54,5,3
2026-02-27,18:45:27,OLA977443,Cancelled,Cust_1733,Lux,HSR Layout,Airport,4,0,Customer,Driver refused,No,NA,0.0,Wallet,0.0,0,0
2026-01-24,11:32:35,OLA701279,Incomplete,Cust_2049,Bike,Koramangala,Whitefield,9,8,NA,NA,Yes,Accident,177.83,Credit Card,11.86,0,0
2026-02-01,18:00:48,OLA391807,Success,Cust_1888,Bike,MG Road,HSR Layout,2,43,NA,NA,No,NA,253.38,Wallet,16.89,5,5
2026-01-23,08:32:22,OLA819296,Success,Cust_4977,Lux,HSR Layout,Indiranagar,8,10,NA,NA,No,NA,580.61,UPI,38.71,4,5
2026-01-12,16:32:13,OLA516843,Incomplete,Cust_4186,Prime Play,Whitefield,Electronic City,8,2,NA,NA,Yes,Medical Emergency,105.85,UPI,7.06,0,0
2026-01-09,13:16:49,OLA594595,Success,Cust_4642,Lux,Indiranagar,Airport,4,6,NA,NA,No,NA,539.75,Credit Card,35.98,3,3
2026-01-18,14:42:40,OLA116305,Success,Cust_906,Lux,HSR Layout,Koramangala,10,17,NA,NA,No,NA,1180.53,Credit Card,78.7,5,5
2026-01-17,19:16:56,OLA868710,Success,Cust_4953,Prime Sedan,HSR Layout,Indiranagar,4,29,NA,NA,No,NA,775.65,Wallet,51.71,4,5
2026-02-11,21:28:19,OLA931574,Success,Cust_3158,Mini,HSR Layout,Whitefield,12,41,NA,NA,No,NA,607.98,UPI,40.53,3,5
2026-01-06,19:42:11,OLA281079,Success,Cust_4500,Lux,Electronic City,Indiranagar,5,18,NA,NA,No,NA,261.02,Cash,17.4,4,5
2026-02-18,15:24:57,OLA250426,Cancelled,Cust_3740,Auto,Whitefield,Koramangala,2,0,Driver,Changed mind,No,NA,0.0,Cash,0.0,0,0
2026-02-15,18:17:35,OLA486786,Success,Cust_4669,Lux,Koramangala,Electronic City,9,37,NA,NA,No,NA,639.95,Wallet,42.66,4,4
2026-02-26,07:49:10,OLA819322,Success,Cust_2775,Lux,Whitefield,Electronic City,5,12,NA,NA,No,NA,348.31,UPI,23.22,4,4
2026-02-28,23:19:06,OLA908835,Success,Cust_3787,Prime Play,Indiranagar,Airport,4,10,NA,NA,No,NA,948.55,Wallet,63.24,5,5
2026-01-29,06:01:40,OLA355157,Success,Cust_2196,Mini,MG Road,Electronic City,6,31,NA,NA,No,NA,797.91,Cash,53.19,5,3
2026-02-27,03:13:30,OLA544587,Success,Cust_1053,Prime Sedan,Koramangala,Whitefield,12,23,NA,NA,No,NA,384.68,Cash,25.65,4,3
2026-02-01,15:55:26,OLA280148,Success,Cust_2005,Prime Play,Indiranagar,Koramangala,12,27,NA,NA,No,NA,280.17,Wallet,18.68,3,4
2026-01-08,04:03:34,OLA637628,Success,Cust_1174,Bike,Whitefield,Indiranagar,7,27,NA,NA,No,NA,488.71,Credit Card,32.58,5,5
2026-01-12,07:30:23,OLA535395,Cancelled,Cust_2817,Prime Sedan,Electronic City,Koramangala,4,0,Customer,Changed mind,No,NA,0.0,UPI,0.0,0,0
2026-02-15,22:41:44,OLA337384,Success,Cust_3307,Bike,MG Road,HSR Layout,4,5,NA,NA,No,NA,780.23,UPI,52.02,5,4
2026-02-14,02:55:16,OLA862676,Success,Cust_2218,Mini,Koramangala,Indiranagar,2,27,NA,NA,No,NA,775.02,UPI,51.67,4,4
2026-01-19,12:07:56,OLA124571,Success,Cust_1544,Prime Sedan,Whitefield,Airport,9,30,NA,NA,No,NA,413.87,Credit Card,27.59,3,4
2026-02-27,17:32:58,OLA646772,Cancelled,Cust_4914,Prime Sedan,Whitefield,MG Road,4,0,Customer,Wrong location,No,NA,0.0,Wallet,0.0,0,0
2026-01-20,22:16:00,OLA255099,Success,Cust_3575,Auto,HSR Layout,Whitefield,4,18,NA,NA,No,NA,1042.49,UPI,69.5,5,3
2026-02-11,01:23:43,OLA121286,Success,Cust_3909,Prime Sedan,MG Road,HSR Layout,5,26,NA,NA,No,NA,1186.74,Wallet,79.12,5,3
2026-02-04,11:43:46,OLA473425,Success,Cust_2026,Prime Sedan,Airport,MG Road,3,11,NA,NA,No,NA,759.34,Credit Card,50.62,4,3
2026-02-18,13:46:33,OLA819340,Cancelled,Cust_890,Prime Sedan,MG Road,Indiranagar,5,0,Customer,Late arrival,No,NA,0.0,Wallet,0.0,0,0
2026-02-24,09:46:52,OLA297274,Success,Cust_2483,Prime Sedan,Electronic City,Indiranagar,12,14,NA,NA,No,NA,504.67,Wallet,33.64,5,3
2026-03-02,21:31:19,OLA534465,Success,Cust_1206,Lux,Airport,Whitefield,6,5,NA,NA,No,NA,696.79,Cash,46.45,5,3
2026-01-25,03:34:07,OLA668182,Success,Cust_4439,Mini,MG Road,Whitefield,4,40,NA,NA,No,NA,858.54,UPI,57.24,3,4
2026-01-10,05:19:31,OLA955287,Success,Cust_4488,Mini,Whitefield,Electronic City,2,6,NA,NA,No,NA,548.96,Cash,36.6,5,5
2026-02-14,12:47:42,OLA473731,Success,Cust_3583,Prime Sedan,Koramangala,MG Road,8,23,NA,NA,No,NA,280.24,Wallet,18.68,4,4
2026-01-01,16:22:02,OLA917594,Success,Cust_3369,Auto,MG Road,Koramangala,10,25,NA,NA,No,NA,685.95,Cash,45.73,3,4
2026-02-08,14:43:35,OLA918055,Success,Cust_1810,Prime Sedan,Indiranagar,Airport,12,28,NA,NA,No,NA,1029.87,UPI,68.66,4,5
2026-01-16,04:20:46,OLA110446,Success,Cust_3060,Bike,MG Road,Koramangala,7,41,NA,NA,No,NA,503.14,Cash,33.54,5,5
2026-01-26,18:56:07,OLA676681,Success,Cust_758,Prime Play,Airport,Electronic City,11,12,NA,NA,No,NA,782.15,UPI,52.14,3,3
2026-02-26,08:14:31,OLA346523,Success,Cust_3288,Prime Play,Koramangala,Airport,12,15,NA,NA,No,NA,332.99,Credit Card,22.2,5,5
2026-03-01,10:09:28,OLA282901,Success,Cust_2673,Bike,HSR Layout,Koramangala,2,10,NA,NA,No,NA,738.54,UPI,49.24,5,4
2026-03-02,07:16:26,OLA159436,Success,Cust_120,Prime Play,Electronic City,Whitefield,9,28,NA,NA,No,NA,673.81,UPI,44.92,5,3
2026-01-12,18:33:42,OLA410730,Success,Cust_3091,Bike,HSR Layout,MG Road,5,15,NA,NA,No,NA,131.28,Wallet,8.75,3,4
2026-02-01,12:57:49,OLA509110,Cancelled,Cust_70,Auto,HSR Layout,Whitefield,5,0,Customer,Wrong location,No,NA,0.0,Wallet,0.0,0,0
2026-01-03,10:24:53,OLA305656,Success,Cust_2020,Bike,HSR Layout,Koramangala,6,17,NA,NA,No,NA,1045.94,Wallet,69.73,4,3
2026-02-12,00:43:06,OLA429482,Cancelled,Cust_1679,Prime Play,Electronic City,Airport,3,0,Driver,Changed mind,No,NA,0.0,UPI,0.0,0,0
2026-02-21,10:05:27,OLA478890,Success,Cust_4562,Mini,Airport,Koramangala,2,39,NA,NA,No,NA,404.54,UPI,26.97,3,5
2026-01-05,20:36:56,OLA327249,Cancelled,Cust_1905,Prime Play,Airport,Whitefield,4,0,Customer,Wrong location,No,NA,0.0,Cash,0.0,0,0
2026-01-06,00:36:37,OLA264577,Success,Cust_2816,Bike,Koramangala,Whitefield,10,19,NA,NA,No,NA,578.81,Cash,38.59,4,4
2026-02-10,14:58:50,OLA728473,Success,Cust_3543,Prime Sedan,MG Road,Indiranagar,5,38,NA,NA,No,NA,1131.48,UPI,75.43,4,3
2026-02-27,17:52:18,OLA441582,Success,Cust_2787,Auto,Airport,MG Road,5,24,NA,NA,No,NA,965.46,Cash,64.36,5,5
2026-01-23,04:46:49,OLA395956,Cancelled,Cust_4791,Mini,HSR Layout,Whitefield,2,0,Customer,Driver refused,No,NA,0.0,Credit Card,0.0,0,0
2026-02-15,06:00:17,OLA229185,Success,Cust_1247,Auto,Electronic City,MG Road,11,37,NA,NA,No,NA,117.26,Cash,7.82,5,3
2026-02-15,06:54:26,OLA687530,Success,Cust_1372,Mini,MG Road,Indiranagar,5,10,NA,NA,No,NA,306.37,Wallet,20.42,5,4
2026-02-03,00:13:28,OLA837961,Success,Cust_593,Prime Play,Airport,MG Road,11,36,NA,NA,No,NA,823.83,UPI,54.92,4,4
2026-01-31,18:11:11,OLA249478,Success,Cust_4760,Prime Play,Indiranagar,HSR Layout,4,27,NA,NA,No,NA,555.9,Cash,37.06,5,4
2026-02-16,14:42:51,OLA165443,Success,Cust_4920,Lux,Electronic City,HSR Layout,9,41,NA,NA,No,NA,168.56,UPI,11.24,3,4
2026-02-07,18:23:39,OLA505096,Success,Cust_211,Lux,Airport,Koramangala,11,17,NA,NA,No,NA,386.46,Wallet,25.76,3,3
2026-02-27,15:49:59,OLA444266,Cancelled,Cust_4887,Bike,Koramangala,MG Road,5,0,Customer,Late arrival,No,NA,0.0,Credit Card,0.0,0,0
2026-02-03,10:28:20,OLA352887,Cancelled,Cust_2342,Prime Play,HSR Layout,Koramangala,1,0,Driver,Wrong location,No,NA,0.0,Credit Card,0.0,0,0
2026-01-28,10:28:18,OLA242750,Cancelled,Cust_362,Bike,Indiranagar,MG Road,2,0,Customer,Late arrival,No,NA,0.0,Cash,0.0,0,0
2026-02-02,08:54:11,OLA713356,Success,Cust_4864,Lux,Electronic City,Whitefield,4,30,NA,NA,No,NA,843.32,Wallet,56.22,4,5
2026-01-08,20:50:25,OLA133661,Success,Cust_4473,Bike,MG Road,HSR Layout,4,35,NA,NA,No,NA,473.0,UPI,31.53,5,4
2026-01-21,08:33:38,OLA190121,Success,Cust_285,Auto,MG Road,Electronic City,4,16,NA,NA,No,NA,824.03,Credit Card,54.94,4,3
2026-02-20,11:10:57,OLA409963,Cancelled,Cust_4588,Prime Play,Koramangala,MG Road,4,0,Driver,Late arrival,No,NA,0.0,Cash,0.0,0,0
2026-03-02,05:01:41,OLA314104,Success,Cust_3135,Lux,Koramangala,Electronic City,12,5,NA,NA,No,NA,339.93,UPI,22.66,5,4
2026-02-10,01:26:06,OLA324341,Cancelled,Cust_1819,Lux,HSR Layout,Whitefield,4,0,Customer,Changed mind,No,NA,0.0,Cash,0.0,0,0
2026-02-16,02:47:28,OLA370318,Success,Cust_540,Lux,Electronic City,HSR Layout,12,35,NA,NA,No,NA,793.8,Wallet,52.92,3,5
2026-01-31,05:58:48,OLA955866,Incomplete,Cust_4574,Prime Play,Koramangala,Electronic City,5,7,NA,NA,Yes,Medical Emergency,102.37,UPI,6.82,0,0
2026-03-02,23:27:40,OLA853520,Success,Cust_3537,Lux,Koramangala,Electronic City,7,6,NA,NA,No,NA,790.72,Credit Card,52.71,3,4
2026-01-17,03:15:38,OLA690840,Success,Cust_2099,Prime Sedan,Airport,HSR Layout,2,10,NA,NA,No,NA,404.76,UPI,26.98,3,4
2026-01-15,12:15:17,OLA341677,Success,Cust_3462,Lux,MG Road,Electronic City,5,39,NA,NA,No,NA,822.45,UPI,54.83,5,4
2026-01-11,01:30:24,OLA200963,Success,Cust_2103,Auto,Airport,Electronic City,9,40,NA,NA,No,NA,790.83,Wallet,52.72,4,3
2026-02-21,16:51:40,OLA873316,Incomplete,Cust_3389,Prime Sedan,Electronic City,Indiranagar,3,9,NA,NA,Yes,Accident,193.97,Cash,12.93,0,0
2026-01-13,06:23:08,OLA737537,Success,Cust_4074,Lux,Koramangala,Electronic City,11,31,NA,NA,No,NA,168.47,Wallet,11.23,5,3
2026-01-23,09:05:11,OLA911310,Success,Cust_3035,Prime Play,Koramangala,HSR Layout,9,45,NA,NA,No,NA,539.38,UPI,35.96,3,3
2026-02-10,18:14:32,OLA727722,Cancelled,Cust_659,Mini,Whitefield,MG Road,5,0,Customer,Wrong location,No,NA,0.0,Wallet,0.0,0,0
2026-01-18,04:08:37,OLA220319,Success,Cust_3549,Prime Play,MG Road,Indiranagar,5,22,NA,NA,No,NA,1057.02,Wallet,70.47,5,4
2026-02-24,20:43:16,OLA664704,Success,Cust_290,Auto,Airport,Electronic City,11,18,NA,NA,No,NA,1149.39,Credit Card,76.63,3,4
2026-02-23,23:08:24,OLA497612,Cancelled,Cust_3423,Auto,HSR Layout,Indiranagar,1,0,Driver,Driver refused,No,NA,0.0,Cash,0.0,0,0
2026-02-16,02:01:40,OLA263849,Success,Cust_727,Bike,MG Road,Indiranagar,11,35,NA,NA,No,NA,239.64,Cash,15.98,4,4
2026-02-02,19:29:48,OLA980802,Cancelled,Cust_3776,Lux,Koramangala,HSR Layout,2,0,Customer,Late arrival,No,NA,0.0,UPI,0.0,0,0
2026-02-27,18:05:39,OLA409231,Cancelled,Cust_1125,Bike,Koramangala,Electronic City,2,0,Driver,Late arrival,No,NA,0.0,UPI,0.0,0,0
2026-01-09,21:25:14,OLA997585,Success,Cust_1319,Prime Sedan,Airport,HSR Layout,10,7,NA,NA,No,NA,1136.15,Credit Card,75.74,4,3
2026-01-27,05:51:19,OLA415356,Cancelled,Cust_2894,Mini,Airport,Indiranagar,2,0,Customer,Driver refused,No,NA,0.0,Credit Card,0.0,0,0
2026-02-01,04:17:00,OLA194635,Success,Cust_1089,Bike,Electronic City,HSR Layout,2,38,NA,NA,No,NA,308.77,Cash,20.58,4,3
2026-02-22,09:17:34,OLA389262,Success,Cust_2556,Auto,HSR Layout,Whitefield,11,26,NA,NA,No,NA,499.75,Cash,33.32,3,5
2026-02-06,09:42:18,OLA625464,Success,Cust_1539,Lux,HSR Layout,Electronic City,5,21,NA,NA,No,NA,237.73,Wallet,15.85,4,5
2026-02-16,04:48:11,OLA783934,Success,Cust_4674,Bike,Whitefield,Electronic City,6,42,NA,NA,No,NA,301.07,Credit Card,20.07,4,5
2026-01-05,03:50:41,OLA639024,Success,Cust_2441,Bike,Koramangala,HSR Layout,5,22,NA,NA,No,NA,612.09,Credit Card,40.81,5,3
2026-01-01,15:58:26,OLA685958,Cancelled,Cust_3722,Mini,Koramangala,Indiranagar,1,0,Driver,Changed mind,No,NA,0.0,Credit Card,0.0,0,0
2026-01-17,02:32:32,OLA919124,Success,Cust_2004,Prime Play,HSR Layout,Koramangala,12,13,NA,NA,No,NA,226.45,Wallet,15.1,3,4
2026-02-04,06:45:59,OLA337202,Success,Cust_317,Mini,Electronic City,Whitefield,2,13,NA,NA,No,NA,616.9,Cash,41.13,4,4
2026-01-10,01:47:03,OLA255503,Success,Cust_4570,Auto,Airport,HSR Layout,5,18,NA,NA,No,NA,108.02,Wallet,7.2,4,5
2026-02-04,20:25:32,OLA200813,Success,Cust_1498,Lux,MG Road,Airport,4,19,NA,NA,No,NA,240.16,Credit Card,16.01,5,4
2026-01-26,06:10:04,OLA764563,Cancelled,Cust_4670,Mini,Koramangala,Indiranagar,2,0,Driver,Driver refused,No,NA,0.0,Cash,0.0,0,0
2026-01-09,15:47:01,OLA915649,Success,Cust_853,Mini,Electronic City,HSR Layout,3,24,NA,NA,No,NA,1038.8,Wallet,69.25,5,3
2026-01-17,18:18:21,OLA512682,Success,Cust_2635,Prime Play,Koramangala,MG Road,5,40,NA,NA,No,NA,788.08,Cash,52.54,5,4
2026-01-31,10:58:15,OLA379210,Success,Cust_1375,Prime Sedan,Indiranagar,Airport,6,10,NA,NA,No,NA,753.46,Wallet,50.23,5,3
2026-02-25,16:55:09,OLA385805,Cancelled,Cust_946,Lux,Electronic City,Airport,4,0,Customer,Wrong location,No,NA,0.0,Wallet,0.0,0,0
2026-01-20,18:40:27,OLA254916,Cancelled,Cust_1468,Prime Play,Koramangala,Airport,4,0,Customer,Late arrival,No,NA,0.0,Wallet,0.0,0,0
2026-01-01,00:43:54,OLA552423,Cancelled,Cust_3446,Bike,Airport,Electronic City,1,0,Customer,Late arrival,No,NA,0.0,Wallet,0.0,0,0
2026-01-08,02:49:21,OLA613256,Incomplete,Cust_4437,Mini,Koramangala,Electronic City,2,10,NA,NA,Yes,Medical Emergency,155.77,Cash,10.38,0,0
2026-02-17,10:06:45,OLA734780,Success,Cust_93,Lux,HSR Layout,Koramangala,7,9,NA,NA,No,NA,373.18,Cash,24.88,3,3
2026-01-19,05:07:11,OLA527098,Success,Cust_2837,Prime Play,HSR Layout,Airport,6,44,NA,NA,No,NA,767.22,Wallet,51.15,5,3
2026-02-07,03:26:48,OLA618831,Incomplete,Cust_2051,Lux,MG Road,Indiranagar,7,10,NA,NA,Yes,Accident,190.35,Wallet,12.69,0,0
2026-02-27,17:06:53,OLA581783,Success,Cust_1721,Prime Play,Whitefield,Airport,8,27,NA,NA,No,NA,197.36,Cash,13.16,4,5
2026-01-31,19:48:27,OLA305381,Success,Cust_1956,Prime Play,Whitefield,MG Road,8,11,NA,NA,No,NA,144.83,Credit Card,9.66,4,3
2026-01-01,07:07:20,OLA235924,Success,Cust_2847,Prime Sedan,Electronic City,Indiranagar,7,37,NA,NA,No,NA,963.7,Cash,64.25,5,5
2026-02-18,01:39:58,OLA988872,Cancelled,Cust_4071,Bike,Electronic City,Whitefield,3,0,Driver,Wrong location,No,NA,0.0,Credit Card,0.0,0,0
2026-01-05,09:15:39,OLA604914,Success,Cust_574,Prime Play,Whitefield,Koramangala,9,29,NA,NA,No,NA,132.46,Cash,8.83,5,3
2026-01-03,19:34:09,OLA145421,Success,Cust_2581,Prime Sedan,MG Road,Indiranagar,3,12,NA,NA,No,NA,166.01,Credit Card,11.07,3,5
2026-02-08,14:54:23,OLA276621,Success,Cust_1975,Bike,Electronic City,Indiranagar,6,33,NA,NA,No,NA,999.13,UPI,66.61,4,5
2026-02-16,16:47:15,OLA807956,Success,Cust_799,Prime Sedan,Airport,MG Road,10,39,NA,NA,No,NA,528.22,Credit Card,35.21,4,5
2026-02-19,04:38:58,OLA901691,Success,Cust_53,Auto,Indiranagar,HSR Layout,5,6,NA,NA,No,NA,840.91,Cash,56.06,3,3
2026-02-24,18:53:01,OLA442475,Success,Cust_3546,Auto,Koramangala,Whitefield,12,35,NA,NA,No,NA,126.52,Wallet,8.43,3,3
2026-02-03,01:54:39,OLA117289,Success,Cust_4263,Prime Sedan,Whitefield,MG Road,12,11,NA,NA,No,NA,379.18,Cash,25.28,5,5
2026-02-19,02:56:43,OLA581733,Success,Cust_2582,Lux,Whitefield,Airport,9,11,NA,NA,No,NA,985.81,UPI,65.72,3,5
2026-02-04,20:50:56,OLA474085,Success,Cust_670,Mini,MG Road,HSR Layout,4,45,NA,NA,No,NA,194.71,Wallet,12.98,5,4
2026-01-15,22:44:26,OLA816359,Success,Cust_1470,Prime Sedan,Whitefield,Indiranagar,3,40,NA,NA,No,NA,989.31,Credit Card,65.95,3,4
2026-02-25,03:51:19,OLA861801,Cancelled,Cust_1965,Prime Sedan,Electronic City,HSR Layout,4,0,Driver,Changed mind,No,NA,0.0,UPI,0.0,0,0
2026-02-23,15:59:54,OLA155082,Success,Cust_4377,Prime Play,Koramangala,Electronic City,12,40,NA,NA,No,NA,284.95,Wallet,19.0,3,4
